Document_No,Company_Code,Account,Amount,Doc_Type,Posting_Key,User_ID
100053,1000,400001,4931967.755084108,KR,40,U002
100054,2000,500000,4655649.845839218,SA,31,U001
100055,3000,400001,4737483.324138741,KR,40,U003
100056,3000,400000,4190557.1831929823,SA,50,U001
100057,1000,400000,5648397.999320214,KR,31,U001
100058,3000,400001,6940313.271533665,KR,40,U001
100059,3000,400000,4332732.115183076,SA,31,U003
100060,2000,400000,6119756.911177878,SA,31,U003
100061,1000,400001,5293319.849717835,KR,40,U003
100062,2000,400001,5028335.913425948,SA,31,U001
100063,2000,400000,4724701.810749735,KR,40,U002
100064,2000,500000,39467412.03050245,KR,40,U003
100065,2000,500000,5919672.551758901,SA,40,U001
100066,2000,400001,4089535.2312347903,SA,31,U003
100067,2000,400001,4779994.615078839,SA,31,U002
100068,2000,500000,5999200.166258003,KR,40,U001
100069,1000,400000,5786971.754822398,KR,31,U003
100070,3000,500000,32815449.990718443,SA,40,U003
100071,2000,500000,4853926.4977751635,KR,50,U002
100072,2000,500000,5582406.2782672215,KR,31,U003
100073,2000,500000,5530742.495456877,SA,31,U001
100074,2000,400001,5780107.616994631,KR,50,U001
100075,2000,400001,5307428.710533838,KR,50,U002
100076,2000,400000,5441562.518396627,KR,50,U002
100077,3000,400000,5274237.137541727,SA,40,U002
100078,3000,400000,6263786.462022312,SA,40,U001
100079,2000,400000,4662551.056455025,KR,50,U002
100080,3000,500000,5038552.930356174,SA,40,U003
100081,1000,400001,4188024.9341458324,KR,31,U003
100082,2000,400001,4030382.58655647,SA,50,U001
100083,1000,400000,5259965.360846705,KR,31,U003
100084,1000,400000,4420650.987246518,KR,40,U002
100085,2000,500000,4953851.517682116,KR,50,U003
100086,3000,500000,6294199.448419367,KR,40,U002
100087,1000,400000,6247950.161898256,SA,31,U003
100088,2000,400001,6779235.822950641,KR,40,U001
100089,1000,400001,6310122.006719297,KR,31,U002
100090,1000,400001,6922414.553428392,SA,40,U003
100091,1000,400000,5349223.734250049,SA,31,U001
100092,1000,400001,4277583.533884333,KR,40,U003
100093,3000,500000,4199685.944411616,KR,50,U001
100094,1000,500000,6117064.4859532155,SA,50,U003
100095,1000,400000,5041301.202248336,KR,40,U002
100096,1000,500000,40807241.7014145,KR,31,U002
100097,3000,400000,4560743.129636949,KR,40,U002
100098,1000,400001,4656660.848280574,KR,50,U002
100099,1000,400001,5307007.43182154,KR,31,U002
100100,3000,400001,4155821.2079007705,KR,40,U003
100101,3000,500000,5205710.7726464765,KR,40,U003
100102,3000,400000,6208864.156108104,KR,31,U003
100103,1000,400001,26344730.613383546,KR,40,U003
100104,3000,400000,3766950.497538309,SA,50,U002
100105,3000,400001,5540487.969202447,SA,50,U001
100106,1000,500000,6091174.298928691,SA,31,U002
100107,3000,500000,4608085.815888255,KR,40,U003
100108,1000,400000,3401407.507964369,KR,40,U002
100109,2000,500000,6145539.339152602,KR,50,U002
100110,3000,500000,4351147.87846838,SA,31,U002
100111,2000,400000,4711002.92565791,SA,31,U001
100112,1000,400001,5255235.897855821,KR,31,U002
100113,3000,500000,4466853.302471394,SA,50,U002
100114,1000,400000,4299096.218274244,SA,50,U001
100115,2000,500000,4313759.845948729,KR,31,U002
100116,1000,500000,6486342.848742146,KR,31,U002
100117,3000,500000,5927690.870740225,SA,40,U002
100118,3000,500000,5459613.872493746,KR,40,U002
100119,2000,400000,3250853.419412347,SA,31,U002
100120,1000,400000,5462553.51604447,SA,50,U003
100121,3000,400000,5419360.1667275755,SA,50,U002
100122,2000,500000,3977493.4878518675,KR,40,U001
100123,3000,500000,5206968.106779066,SA,31,U002
100124,3000,500000,5841193.997006951,SA,50,U003
100125,1000,400000,5455492.734875019,KR,50,U001
100126,3000,500000,4455864.47863982,KR,50,U001
100127,1000,400001,5010611.714467179,SA,50,U002
100128,3000,500000,5584285.544960959,KR,40,U003
100129,2000,400001,5047561.627374119,KR,50,U002
100130,3000,500000,6003427.911285516,SA,50,U003
100131,1000,400000,5316545.245472087,KR,31,U003
100132,1000,500000,5602338.132230265,SA,31,U002
100133,2000,400001,5657120.517593408,KR,40,U003
100134,3000,400001,4146653.8373553096,KR,40,U002
100135,3000,500000,5039988.828285343,SA,40,U003
100136,2000,400001,4734116.4211848285,SA,40,U001
100137,3000,400001,5835076.795845663,KR,50,U002
100138,3000,400000,42964691.498905756,KR,31,U003
100139,1000,500000,4849430.030315528,KR,50,U001
100140,3000,500000,3974518.8772458695,SA,50,U001
100141,3000,500000,3722473.334303567,KR,50,U001
100142,2000,400001,5248274.095955963,SA,31,U001
100143,2000,500000,4426229.858213232,KR,40,U002
100144,1000,500000,44263209.39582229,KR,40,U003
100145,3000,400000,3685487.787939019,KR,31,U001
100146,3000,400000,6274360.958567113,KR,31,U003
100147,3000,400000,5531091.27194534,KR,40,U003
100148,1000,400001,5079348.071982182,SA,50,U003
100149,1000,500000,6346447.149122186,SA,40,U002
100150,2000,400000,5758734.347376909,SA,31,U002
100151,1000,400000,4619997.4091063645,KR,40,U001
100152,3000,400000,5062061.047822664,SA,40,U003
100153,3000,500000,3428580.5601482037,SA,40,U002
100154,1000,500000,5851352.248439081,KR,31,U002
100155,3000,500000,4763238.657606622,KR,31,U002
100156,3000,400001,3418220.123808814,SA,40,U001
100157,1000,400001,4054529.1444728067,SA,40,U002
100158,1000,400000,5696729.638759527,SA,50,U003
100159,3000,500000,6291042.1720289225,SA,50,U002
100160,3000,400000,5016340.41513447,SA,40,U002
100161,3000,500000,33714871.41124548,SA,31,U001
100162,2000,500000,3863400.2482567187,SA,50,U003
100163,2000,500000,6131691.694512887,KR,40,U002
100164,2000,400001,5359574.222757782,SA,50,U003
100165,1000,400001,4735888.303484203,KR,50,U003
100166,2000,500000,4545382.5711395675,KR,50,U002
100167,1000,400000,5537463.710186902,KR,31,U001
100168,1000,500000,5515454.795257088,SA,40,U003
100169,2000,500000,34261859.753881946,SA,31,U002
100170,2000,400000,32688816.05823397,KR,31,U003
100171,2000,500000,4126477.8434292045,SA,50,U003
100172,3000,400000,4625420.335620515,SA,40,U003
100173,2000,400001,4448171.637133795,KR,50,U002
100174,3000,400001,6294473.614535652,SA,31,U003
100175,1000,400000,4596975.502192449,KR,31,U003
100176,3000,400001,4000266.8416402163,KR,40,U001
100177,2000,400001,32361616.378243025,KR,31,U002
100178,1000,400000,4852822.719166724,KR,31,U002
100179,1000,400001,3542300.7016169275,SA,40,U003
100180,1000,500000,4951903.428910083,KR,50,U001
100181,3000,500000,3931032.3996147485,SA,40,U003
100182,2000,400000,5926888.29339336,SA,31,U003
100183,1000,400001,5093249.879393556,SA,40,U002
100184,1000,500000,6696818.881225955,SA,50,U001
100185,1000,500000,4817439.536398232,KR,31,U003
100186,3000,400001,2494604.9328237968,KR,50,U002
100187,3000,400001,6166144.960284963,KR,50,U003
100188,2000,500000,5401538.526781655,KR,40,U003
100189,3000,500000,5525526.303168539,KR,50,U001
100190,1000,400000,4197933.128204761,SA,40,U001
100191,2000,400000,4965721.555523689,KR,40,U001
100192,1000,500000,5149168.700108528,SA,50,U003
100193,1000,400000,4809743.505915121,SA,40,U001
100194,3000,500000,3612509.7397972206,KR,40,U002
100195,2000,500000,7214953.638607243,SA,50,U003
100196,3000,400000,5668663.3902625805,SA,31,U001
100197,3000,400000,5336467.237616316,KR,40,U003
100198,2000,400001,6051108.496811183,KR,40,U003
100199,1000,400001,5515353.768831073,KR,50,U002
100200,1000,400001,4458237.695936239,SA,40,U002
100201,2000,500000,5999826.206254153,KR,50,U002
100202,1000,400000,5681772.805262412,KR,31,U003
100203,2000,500000,4488571.346148754,SA,31,U003
100204,2000,400000,5632011.734628036,KR,50,U002
100205,3000,500000,4807543.974259135,SA,31,U003
100206,2000,400001,5166782.55983889,SA,50,U002
100207,3000,400001,5479720.373530581,KR,40,U002
100208,1000,400001,6094798.161043968,SA,31,U001
100209,1000,500000,4483203.211898357,SA,40,U002
100210,1000,400000,5291969.744521811,KR,40,U001
100211,1000,400000,6612580.980984956,KR,50,U002
100212,3000,400001,4859162.003178439,KR,31,U003
100213,1000,400001,5157245.422159666,SA,31,U001
100214,2000,400001,6611384.37958239,SA,40,U003
100215,2000,400001,5509981.977559283,KR,40,U003
100216,2000,400000,3820815.7766711074,KR,50,U002
100217,3000,500000,4363617.878276508,KR,31,U002
100218,1000,500000,5551663.371492354,SA,50,U003
100219,1000,500000,5338403.9263123805,KR,50,U002
100220,1000,500000,5130063.893391056,SA,50,U002
100221,3000,400001,6728979.346533172,KR,31,U002
100222,2000,400001,4506010.275073284,SA,50,U003
100223,2000,400001,4940468.941254371,SA,31,U001
100224,1000,500000,3429511.8324494115,KR,50,U001
100225,2000,400001,5928527.911040777,SA,40,U003
100226,2000,400001,4360918.159149936,SA,50,U002
100227,3000,400000,5845709.415040744,KR,50,U002
100228,3000,400000,5761624.105149841,KR,31,U001
100229,3000,400001,6879279.407030223,SA,40,U003
100230,3000,400000,5519420.4612249695,SA,40,U003
100231,1000,400000,4715130.700543913,SA,31,U002
100232,3000,400001,5362898.367997673,KR,31,U002
100233,2000,400001,4392597.72173713,SA,40,U002
100234,1000,400001,5255328.142007127,SA,31,U003
100235,2000,400001,4839277.995566102,KR,40,U001
100236,2000,500000,4943729.240262503,KR,50,U003
100237,2000,500000,4281306.809657949,KR,50,U003
100238,3000,400001,5240356.847810221,KR,40,U003
100239,3000,400000,5659384.020548855,KR,40,U001
100240,1000,400001,3678322.5642626183,SA,50,U002
100241,1000,400001,4449125.877387891,SA,50,U002
100242,3000,400000,5134437.735344216,SA,40,U003
100243,2000,500000,3122146.6870292686,KR,31,U003
100244,1000,400001,6392211.546970335,KR,31,U001
100245,3000,400001,4431111.348357556,KR,40,U001
100246,3000,500000,4249529.984993258,SA,31,U002
100247,3000,500000,4834126.178994569,KR,50,U003
100248,2000,400000,5109898.271038579,KR,50,U001
100249,3000,500000,4394821.68163813,KR,31,U001
100250,3000,500000,5784330.932791142,SA,40,U003
100251,3000,500000,5319765.231552979,KR,50,U003
100252,3000,400000,4330206.485115715,KR,50,U003
100253,1000,500000,4582075.906462103,SA,50,U003
100254,1000,500000,3786584.2428877447,KR,31,U003
100255,3000,400000,3997327.2835721313,KR,40,U003
100256,2000,500000,5310078.662569889,KR,31,U001
100257,1000,500000,4338508.3551441375,SA,40,U003
100258,3000,400000,6443427.562439274,KR,40,U002
100259,1000,400001,5056738.560247314,KR,31,U003
100260,1000,400000,3917741.259916804,SA,50,U002
100261,2000,500000,4085322.17114595,SA,40,U002
100262,3000,500000,5842375.755745143,KR,31,U002
100263,3000,500000,4938789.11791274,SA,50,U003
100264,2000,400000,5793595.861246109,KR,40,U003
100265,2000,500000,4706809.615937548,SA,40,U002
100266,3000,500000,4551814.3259971915,KR,50,U003
100267,3000,400000,5895557.896827508,KR,40,U001
100268,2000,400001,4313138.098377125,KR,31,U001
100269,1000,400001,5391243.306696289,SA,40,U001
100270,1000,500000,4830573.111678906,SA,40,U001
100271,2000,400000,5702978.7307006195,KR,50,U003
100272,1000,500000,6454787.1900286395,KR,31,U002
100273,2000,400000,37490062.82751354,KR,50,U003
100274,1000,400000,4562286.288962835,KR,31,U001
100275,1000,400001,5532646.711229884,SA,50,U003
100276,3000,400001,4134397.1238375455,SA,40,U003
100277,3000,400000,6293172.366280029,KR,31,U001
100278,1000,500000,6156818.0400451785,SA,31,U002
100279,1000,400001,4200704.288671656,SA,40,U003
100280,3000,500000,3733500.1444744747,SA,50,U003
100281,3000,400001,32572306.221720204,KR,31,U001
100282,3000,400001,4083704.288032706,KR,40,U002
100283,2000,500000,5641408.451483982,SA,40,U001
100284,1000,400001,6239336.252623523,SA,31,U001
100285,3000,400001,5632100.970095059,KR,31,U003
100286,1000,500000,4811046.2267068345,KR,31,U002
100287,2000,400001,5273998.773528331,KR,40,U001
100288,2000,400001,4304177.573755972,SA,50,U003
100289,3000,400001,5877766.436451386,SA,50,U001
100290,2000,500000,5345623.151986026,SA,31,U003
100291,1000,400000,5618558.22561317,KR,40,U002
100292,3000,500000,4417971.43851218,KR,40,U001
100293,1000,400000,4865122.250505083,KR,31,U002
100294,1000,400001,5580058.511984962,KR,40,U002
100295,2000,400000,6154810.319618892,KR,40,U003
100296,2000,500000,4513520.192441132,SA,40,U001
100297,2000,500000,5624361.525736656,SA,31,U001
100298,2000,400001,4430342.5627117725,SA,31,U003
100299,2000,400000,6693755.018261287,KR,31,U003
100300,3000,400001,4668140.233381976,SA,50,U002
100301,1000,400001,5514804.139241689,KR,50,U001
100302,1000,500000,5132487.692186906,SA,31,U001
100303,1000,400000,7084242.497088395,SA,40,U003
100304,1000,400000,41471370.291357204,KR,40,U003
100305,2000,400000,4587955.181607897,SA,31,U003
100306,1000,400000,5511605.21009045,SA,40,U001
100307,3000,400001,5493792.693420298,SA,40,U001
100308,3000,400001,4874024.108992847,SA,50,U002
100309,1000,500000,4124187.308617513,SA,40,U003
100310,1000,400001,4577600.9108877145,SA,40,U002
100311,3000,400001,5705199.158515936,SA,31,U001
100312,3000,500000,3602040.84301283,KR,50,U002
100313,2000,500000,4801563.280491429,SA,50,U002
100314,3000,500000,5795891.137453427,KR,40,U002
100315,2000,400001,4925203.024799962,SA,31,U003
100316,2000,400001,6738968.111642195,KR,50,U001
100317,2000,500000,3604279.8077610782,KR,50,U003
100318,2000,500000,4230905.704864453,SA,40,U002
100319,2000,500000,3148292.9581977697,KR,50,U003
100320,1000,400001,52759619.627169915,KR,31,U001
100321,3000,400001,4244010.279398696,SA,31,U001
100322,2000,400000,3410462.950617334,KR,50,U002
100323,3000,400001,4510464.548459653,SA,31,U002
100324,3000,400001,3885752.713449224,KR,31,U003
100325,2000,400001,4516172.087755678,KR,40,U001
100326,1000,500000,5032983.400755923,KR,50,U001
100327,2000,400001,5643936.88323768,KR,50,U003
100328,1000,500000,4860264.84791125,SA,40,U001
100329,3000,400000,5020232.559467741,SA,40,U002
100330,1000,400000,4534723.821543896,SA,40,U002
100331,1000,500000,3790641.418200273,SA,40,U003
100332,1000,500000,3522767.805627279,SA,31,U003
100333,3000,500000,4708411.375730911,KR,31,U003
100334,3000,400001,5067711.822834571,SA,40,U002
100335,1000,400000,4649108.383018999,KR,50,U003
100336,1000,500000,3552538.4057109263,SA,50,U001
100337,2000,400001,5161120.074614538,SA,50,U003
100338,1000,400000,6303443.906323452,SA,40,U001
100339,2000,400001,4908282.789191082,SA,31,U002
100340,1000,400000,4536375.537939134,KR,31,U001
100341,2000,400001,4951604.767805184,SA,31,U001
100342,3000,400000,4116496.1243495047,KR,31,U001
100343,1000,400000,4064880.696563081,KR,50,U002
100344,1000,400001,5361131.270475709,SA,50,U001
100345,1000,500000,5792257.2232258655,KR,31,U001
100346,1000,400000,4882321.318244464,KR,40,U003
100347,2000,500000,3420987.961907387,SA,31,U003
100348,1000,400001,5282679.1412286,KR,31,U003
100349,3000,500000,6653905.736269958,SA,40,U001
100350,3000,500000,4804881.469241372,SA,31,U001
100351,1000,500000,4857723.379677262,KR,50,U002
100352,3000,500000,4301893.17590885,KR,40,U001
100353,1000,500000,5385083.198314728,KR,40,U001
100354,1000,400000,4463213.22840431,KR,31,U002
100355,3000,400000,5817201.518134875,KR,50,U001
100356,1000,400000,4473935.562811876,KR,50,U002
100357,3000,400001,5273433.174495171,KR,50,U002
100358,2000,500000,4962924.603152351,SA,31,U003
100359,1000,400000,6244089.295447441,SA,31,U001
100360,2000,400001,5327583.508958438,SA,50,U003
100361,3000,400000,6109605.855299937,KR,31,U001
100362,2000,400000,5086898.800621733,KR,50,U003
100363,2000,500000,4863407.759588575,KR,31,U002
100364,3000,400001,4969447.38437182,SA,40,U002
100365,2000,500000,4382872.638898246,SA,40,U002
100366,2000,500000,5425335.026963098,SA,31,U002
100367,3000,400000,4447713.32735721,KR,31,U001
100368,2000,500000,5089970.43321428,SA,50,U001
100369,3000,400001,5684161.573171129,SA,40,U003
100370,2000,500000,6266839.127821551,KR,50,U001
100371,3000,500000,5130288.067091992,SA,31,U001
100372,3000,500000,5688965.644852826,SA,50,U003
100373,2000,400000,5593510.200304652,SA,50,U002
100374,2000,400001,4694098.32734322,KR,31,U003
100375,2000,400000,6686242.763539342,SA,40,U003
100376,1000,400000,4539006.237696845,KR,50,U002
100377,1000,400000,5072795.700919652,KR,31,U003
100378,1000,400000,6163295.802718742,SA,50,U003
100379,3000,400000,6143566.594239059,SA,31,U003
100380,2000,400001,5011456.318428529,KR,31,U001
100381,3000,500000,5792333.398272502,KR,31,U002
100382,1000,400000,4820822.130845156,KR,40,U002
100383,2000,400000,4609056.887760754,KR,40,U003
100384,3000,400001,4029768.741505248,KR,31,U001
100385,2000,400001,5579105.092383424,SA,40,U002
100386,3000,500000,5663376.745014764,KR,50,U002
100387,2000,400001,4545688.563555471,SA,40,U003
100388,1000,500000,5214480.027188187,KR,40,U003
100389,1000,400000,7120790.742297547,SA,50,U003
100390,2000,400000,5917345.840093891,KR,50,U002
100391,3000,500000,4278812.845936911,SA,50,U003
100392,1000,400001,5801249.823810711,SA,31,U003
100393,1000,500000,4282510.574999455,KR,50,U003
100394,1000,400001,2683825.3505162518,KR,50,U001
100395,2000,400000,4983670.285387097,SA,50,U003
100396,2000,400001,6250561.167674388,SA,31,U002
100397,3000,500000,6117958.368349553,SA,40,U003
100398,3000,500000,5301788.135274123,KR,31,U002
100399,3000,400000,4566616.469400085,KR,40,U001
100400,2000,400001,5389159.747130117,KR,50,U001
100401,2000,400001,4784671.863751272,KR,31,U003
100402,3000,400001,4589075.446424551,SA,31,U002
100403,3000,400000,5849601.761844457,KR,40,U003
100404,2000,400001,4579171.376231526,KR,31,U003
100405,3000,500000,5901789.245180861,KR,31,U002
100406,1000,400001,4526251.23042895,KR,40,U002
100407,2000,400000,6646793.563858312,KR,31,U002
100408,3000,400001,3687492.447771905,SA,31,U002
100409,2000,400001,4234584.534636346,KR,50,U002
100410,1000,500000,4875705.812647742,SA,50,U001
100411,2000,400001,3412764.8774495497,KR,50,U001
100412,2000,500000,2943211.0857958673,KR,50,U001
100413,2000,500000,3419673.906471513,KR,50,U002
100414,2000,400000,4766328.631751194,KR,31,U002
100415,1000,500000,4786631.99209271,SA,31,U002
100416,2000,500000,5266399.584986293,SA,50,U003
100417,2000,400000,38739190.51663141,KR,40,U001
100418,3000,500000,5239613.171608679,SA,50,U001
100419,2000,400000,4639826.868449278,SA,31,U003
100420,3000,400001,5571852.605977345,KR,40,U003
100421,1000,400000,5475448.002538818,SA,50,U001
100422,1000,500000,4738645.904113985,SA,40,U002
100423,1000,400000,5426409.147737913,KR,50,U001
100424,1000,500000,4847483.251241065,KR,31,U002
100425,3000,400001,3782139.267685516,SA,50,U001
100426,2000,400000,5723597.313106097,KR,40,U001
100427,1000,400001,4274547.162721257,KR,31,U003
100428,2000,500000,5715059.164113414,KR,50,U003
100429,3000,500000,5259221.417693619,SA,50,U002
100430,3000,400001,4932382.152786301,KR,50,U002
100431,3000,400000,3498405.283639131,KR,50,U001
100432,1000,400000,6231796.445931555,SA,31,U003
100433,2000,500000,37676071.28733383,SA,31,U002
100434,2000,400001,5507650.869724466,SA,50,U002
100435,2000,400001,4908820.701303375,SA,31,U002
100436,3000,400000,4782851.73155009,SA,40,U001
100437,1000,400000,5154246.270717591,KR,31,U002
100438,3000,400000,5021257.826753478,SA,40,U002
100439,3000,400001,4786405.7678593695,KR,40,U003
100440,2000,400000,4955748.353110278,SA,31,U003
100441,3000,400000,5341651.725017368,KR,50,U003
100442,2000,500000,5398255.341406636,KR,31,U001
100443,1000,400000,5034685.770195143,SA,40,U003
100444,2000,400000,5496749.591851551,SA,40,U003
100445,1000,400001,4660744.156445531,SA,31,U003
100446,2000,400001,6779909.104797164,SA,40,U003
100447,3000,500000,6188470.886406224,SA,31,U002
100448,3000,400000,5609954.3958652895,SA,31,U001
100449,1000,500000,3446735.60493036,KR,50,U002
100450,1000,400001,5484815.3110839855,KR,40,U002
100451,1000,500000,4730690.333710357,KR,31,U001
100452,2000,400001,4217055.414872518,KR,40,U002
100453,2000,500000,4710323.1597561445,KR,31,U003
100454,1000,500000,4305732.212856464,SA,31,U001
100455,3000,400000,5405442.475007605,SA,50,U002
100456,2000,500000,6292795.250050582,KR,31,U002
100457,2000,400000,5660823.033365426,KR,50,U003
100458,2000,400000,7210020.192631668,SA,40,U002
100459,1000,400000,3757110.0563396765,SA,50,U002
100460,1000,400000,4595172.236424714,SA,50,U002
100461,1000,500000,4245579.846126151,SA,40,U001
100462,1000,400001,5983494.651487887,KR,50,U001
100463,1000,400001,4823559.71441717,KR,50,U002
100464,3000,400001,5151612.957181803,SA,31,U002
100465,3000,500000,5506948.425578447,SA,50,U003
100466,1000,400000,3836168.919570606,KR,31,U001
100467,2000,400001,4502920.829436002,KR,50,U001
100468,1000,500000,5797812.762958331,KR,40,U001
100469,3000,400000,4561529.679593665,SA,40,U002
100470,3000,400001,3629085.6247450463,KR,50,U003
100471,2000,400000,4278189.689852601,SA,31,U003
100472,3000,400001,4770985.557115788,SA,50,U002
100473,1000,400001,5133408.415911542,SA,31,U002
100474,2000,400001,4943349.352039585,KR,50,U003
100475,1000,400000,4508625.726445621,KR,40,U003
100476,1000,500000,5751450.751078775,SA,40,U001
100477,2000,400000,4896751.250750473,KR,31,U002
100478,1000,400001,5167521.089598339,SA,50,U001
100479,3000,400000,4551235.218089255,KR,31,U003
100480,1000,500000,6207152.21139217,SA,40,U001
100481,2000,400000,4686695.115834512,SA,31,U003
100482,2000,500000,5059754.293274608,KR,50,U003
100483,2000,500000,5827999.553701504,KR,31,U001
100484,1000,400000,5224033.808847968,SA,50,U002
100485,2000,400001,5204071.757149985,KR,50,U001
100486,2000,500000,3421075.5924827093,SA,40,U001
100487,1000,400000,5544508.001355108,SA,50,U002
100488,3000,500000,5044469.552170793,SA,50,U002
100489,1000,400001,5433252.08253804,SA,50,U001
100490,2000,400000,5146570.438695069,SA,31,U003
100491,2000,400000,4552673.954301702,SA,40,U001
100492,1000,400000,5715445.733239676,SA,31,U003
100493,3000,400001,5158501.289023933,SA,31,U002
100494,2000,500000,3968490.807165672,KR,40,U002
100495,2000,400000,6046813.72507693,KR,31,U003
100496,2000,500000,3855616.348490022,SA,31,U001
100497,1000,500000,5720743.387400433,SA,50,U002
100498,2000,400001,6189545.417544166,SA,31,U003
100499,3000,400000,4114963.65122939,KR,40,U003
100500,2000,500000,4901790.57060969,SA,31,U001
100501,2000,400000,4827241.403092658,SA,50,U003
100502,3000,400000,4863223.075855289,SA,31,U003
100503,2000,400001,6464190.684186451,KR,40,U001
100504,1000,400000,4124224.901666305,KR,50,U002
100505,1000,400000,38037970.912774414,KR,31,U002
100506,1000,500000,6202657.999057401,SA,40,U002
100507,3000,400001,4741640.937328681,SA,40,U003
100508,2000,400000,4251376.227306803,KR,31,U003
100509,1000,500000,5210411.745415798,SA,31,U001
100510,3000,400001,5644512.433365612,KR,50,U003
100511,2000,400001,4685727.223881362,KR,31,U003
100512,3000,500000,5443494.7126460355,SA,50,U002
100513,1000,500000,3898707.924740349,SA,31,U003
100514,1000,500000,3943178.3332651244,SA,40,U003
100515,1000,500000,4647930.975797898,SA,40,U003
100516,3000,500000,5472013.935993383,KR,40,U001
100517,3000,400000,5609198.384788069,KR,40,U003
100518,1000,400000,4054387.1620335495,KR,50,U001
100519,3000,400001,5579536.563786063,KR,40,U002
100520,1000,400000,5133205.632347824,KR,50,U003
100521,1000,400000,4296636.244438945,KR,50,U001
100522,2000,400000,3932649.318381601,SA,50,U002
100523,3000,500000,5183858.52392346,KR,31,U003
100524,1000,400001,6031650.579332357,SA,50,U001
100525,1000,400001,5028417.944622366,SA,31,U001
100526,3000,400001,4252063.320475011,KR,50,U002
100527,2000,400001,3505582.170336459,KR,31,U003
100528,2000,400000,6223592.677510887,SA,31,U003
100529,1000,400000,5833480.48825581,SA,40,U003
100530,3000,500000,5241661.479017281,KR,50,U001
100531,2000,400001,6182395.173812369,KR,31,U003
100532,3000,400000,5179135.279802876,SA,40,U001
100533,3000,400000,4575170.439505854,KR,50,U001
100534,1000,500000,5444105.796040168,KR,40,U002
100535,2000,500000,4336219.458985766,KR,31,U001
100536,1000,500000,4203481.745717456,KR,40,U002
100537,2000,400000,5617285.687685815,KR,40,U002
100538,2000,400000,5684607.014051266,SA,50,U003
100539,2000,500000,3981009.3756100726,KR,31,U002
100540,2000,400001,4010561.854046515,KR,50,U003
100541,2000,500000,4643960.245093591,SA,50,U002
100542,3000,500000,4430956.133456269,SA,40,U001
100543,1000,500000,5381191.010532295,KR,31,U003
100544,3000,500000,5038439.870212472,KR,50,U001
100545,2000,400000,5931925.006109284,SA,31,U003
100546,1000,400001,5253806.180187186,KR,50,U001
100547,2000,500000,4484338.5362626575,KR,40,U002
100548,1000,400001,3487096.9104908435,KR,50,U003
100549,3000,400001,5143564.7874217415,SA,50,U003
100550,1000,400001,3631737.511810978,KR,50,U003
100551,1000,500000,4474435.810463331,KR,31,U002
100552,1000,400000,4422618.57752266,SA,40,U001
100553,1000,500000,4593258.308093254,KR,31,U002
